,Sector,Company,BSE,Datetime,Open,High,Low,Close,Adj Close,Volume,current_price,Low_52,High_52
0,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:15:00+05:30,3818.800049,3818.800049,3770.449951,3794.850098,3794.850098,539,3694.7,1793.1,4361.2
1,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:16:00+05:30,3788.149902,3791.350098,3769.350098,3770.350098,3770.350098,601,3694.7,1793.1,4361.2
2,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:17:00+05:30,3769,3769,3754.449951,3762.5,3762.5,374,3694.7,1793.1,4361.2
3,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:18:00+05:30,3761.699951,3781.300049,3761.699951,3781.300049,3781.300049,20,3694.7,1793.1,4361.2
4,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:19:00+05:30,3787.149902,3787.5,3781.5,3782,3782,67,3694.7,1793.1,4361.2
5,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:20:00+05:30,3782,3782,3769.5,3772.699951,3772.699951,56,3694.7,1793.1,4361.2
6,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:21:00+05:30,3767.5,3768,3763,3764.199951,3764.199951,67,3694.7,1793.1,4361.2
7,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:22:00+05:30,3767.550049,3771.449951,3767.050049,3770.050049,3770.050049,63,3694.7,1793.1,4361.2
8,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:23:00+05:30,3768.050049,3768.550049,3761.899902,3761.899902,3761.899902,24,3694.7,1793.1,4361.2
9,Automobile,BAJAJ AUTO LTD,BAJAJ-AUTO.BO,2022-09-16 09:24:00+05:30,3764,3768.550049,3763.100098,3768.550049,3768.550049,87,3694.7,1793.1,4361.2
